"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008380","RNA splicing","22/194","492/18842",0.0447154471544715,4.34293018187914,7.66352419532142,8.06401486578688e-09,4.74164074108269e-05,4.74164074108269e-05,"KHDC4/UBL5/CLK2/HSPA8/TRA2A/SRSF5/SCAF11/DDX39B/LUC7L3/USP4/CELF1/CCNL2/FUS/SNRPC/YBX1/SNRNP70/MBNL1/SRRM2/SNRPD2/SYNCRIP/DDX17/ZNF638",22
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","17/194","357/18842",0.0476190476190476,4.62493863524791,7.05280293309689,1.81965020377172e-07,0.000313236894683317,0.000313236894683317,"KHDC4/UBL5/HSPA8/TRA2A/SRSF5/SCAF11/DDX39B/LUC7L3/USP4/CELF1/CCNL2/SNRPC/SNRNP70/SRRM2/SNRPD2/SYNCRIP/DDX17",17
"GO:0000398","mRNA splicing, via spliceosome","17/194","357/18842",0.0476190476190476,4.62493863524791,7.05280293309689,1.81965020377172e-07,0.000313236894683317,0.000313236894683317,"KHDC4/UBL5/HSPA8/TRA2A/SRSF5/SCAF11/DDX39B/LUC7L3/USP4/CELF1/CCNL2/SNRPC/SNRNP70/SRRM2/SNRPD2/SYNCRIP/DDX17",17
"GO:0000375","RNA splicing, via transesterification reactions","17/194","361/18842",0.0470914127423823,4.57369277779364,6.99269830632578,2.13086322913821e-07,0.000313236894683317,0.000313236894683317,"KHDC4/UBL5/HSPA8/TRA2A/SRSF5/SCAF11/DDX39B/LUC7L3/USP4/CELF1/CCNL2/SNRPC/SNRNP70/SRRM2/SNRPD2/SYNCRIP/DDX17",17
"GO:0022618","protein-RNA complex assembly","13/194","259/18842",0.0501930501930502,4.87493531823429,6.40461658431488,2.99243198362228e-06,0.0035191000127398,0.0035191000127398,"KHDC4/SRSF5/SCAF11/EIF3K/DDX39B/LUC7L3/USP4/CELF1/SNRPC/SNRNP70/SNRPD2/SYNCRIP/DICER1",13
"GO:0071826","protein-RNA complex organization","13/194","268/18842",0.0485074626865672,4.71122480381597,6.24120787796837,4.34921682357609e-06,0.00426223248710456,0.00426223248710456,"KHDC4/SRSF5/SCAF11/EIF3K/DDX39B/LUC7L3/USP4/CELF1/SNRPC/SNRNP70/SNRPD2/SYNCRIP/DICER1",13
"GO:0000245","spliceosomal complex assembly","8/194","98/18842",0.0816326530612245,7.92846623185357,7.01383773353249,7.79598365453868e-06,0.00654862626981249,0.00654862626981249,"KHDC4/SRSF5/SCAF11/DDX39B/LUC7L3/CELF1/SNRPC/SNRPD2",8
"GO:0006403","RNA localization","11/194","206/18842",0.0533980582524272,5.18621759583625,6.16191591418523,9.82578870972875e-06,0.00722195470165063,0.00722195470165063,"SEC13/TPR/ZC3H11C/CCT7/DDX39B/YBX1/PABPN1/NOP10/NEAT1/ZC3H11A/NPIPA1",11
"GO:0046034","ATP metabolic process","11/194","216/18842",0.0509259259259259,4.94611492936235,5.94940474577325,1.5335356777207e-05,0.0100190997611086,0.0100190997611086,"STOML2/PGK1/HSPA8/NDUFB4/INSR/ATP5PD/PKM/NDUFA1/ATP5F1B/ATP5MJ/PGAM1",11
"GO:1904263","positive regulation of TORC1 signaling","6/194","55/18842",0.109090909090909,10.5953139643861,7.26856245123208,2.10139998241214e-05,0.0123562318965834,0.0123562318965834,"SEC13/USP4/LARS1/CSNK1A1/LAMTOR5/RBX1",6
