"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000819","sister chromatid segregation","31/212","246/18842",0.126016260162602,11.199992330112,17.1779410406399,1.16084259060698e-23,2.6335867532503e-20,2.6335867532503e-20,"TRIP13/NDC80/TTK/DLGAP5/CENPA/KIF2C/TPX2/NCAPG2/TOP2A/ZWINT/CENPF/BUB1B/ACTL6A/KIF2A/BIRC5/MAD2L1/KIF11/PRC1/CDK1/NUSAP1/KIF4A/UBE2C/RACGAP1/SMC3/CCNB1/TUBG1/BUB1/CDC20/NCAPG/CDC6/SMC2",31
"GO:0098813","nuclear chromosome segregation","34/212","315/18842",0.107936507936508,9.59311171009284,16.4065271514301,1.18796871672104e-23,2.6335867532503e-20,2.6335867532503e-20,"TRIP13/NDC80/TTK/DLGAP5/CENPA/KIF2C/TPX2/NCAPG2/TOP2A/ZWINT/CENPF/BUB1B/ACTL6A/KIF2A/BIRC5/MAD2L1/KIF11/NEK2/PRC1/CDK1/NUSAP1/KIF4A/UBE2C/RACGAP1/SMC3/CCNB1/TUBG1/BUB1/CDC20/NCAPG/CDC6/PTTG1/SMC2/ECT2",34
"GO:0007059","chromosome segregation","38/212","420/18842",0.0904761904761905,8.04128481581312,15.5675993371876,1.34366671084199e-23,2.6335867532503e-20,2.6335867532503e-20,"TRIP13/NDC80/TTK/GPSM2/DLGAP5/CENPA/KIF2C/TPX2/NCAPG2/TOP2A/ZWINT/CENPF/BUB1B/ACTL6A/KIF2A/BIRC5/MAD2L1/KIF11/NEK2/PRC1/CDK1/CENPU/NUSAP1/KIF4A/UBE2C/RACGAP1/SAC3D1/SMC3/CCNB1/TUBG1/BUB1/CDC20/NCAPG/NUP37/CDC6/PTTG1/SMC2/ECT2",38
"GO:0000070","mitotic sister chromatid segregation","28/212","205/18842",0.136585365853659,12.1393465255407,17.1065377465302,2.02418006888044e-22,2.97554470125424e-19,2.97554470125424e-19,"TRIP13/NDC80/TTK/DLGAP5/CENPA/KIF2C/TPX2/NCAPG2/ZWINT/CENPF/BUB1B/KIF2A/BIRC5/MAD2L1/KIF11/PRC1/CDK1/NUSAP1/KIF4A/UBE2C/RACGAP1/SMC3/CCNB1/TUBG1/BUB1/CDC20/NCAPG/SMC2",28
"GO:0140014","mitotic nuclear division","31/212","281/18842",0.110320284697509,9.8049754918418,15.8633206868895,6.65080631574762e-22,7.8213482273192e-19,7.8213482273192e-19,"TRIP13/NDC80/UBE2S/AURKA/TTK/DLGAP5/CENPA/KIF2C/TPX2/NCAPG2/ZWINT/CENPF/BUB1B/KIF2A/BIRC5/MAD2L1/KIF11/NEK2/PRC1/CDK1/NUSAP1/KIF4A/UBE2C/RACGAP1/SMC3/CCNB1/TUBG1/BUB1/CDC20/NCAPG/SMC2",31
"GO:0044772","mitotic cell cycle phase transition","36/212","434/18842",0.0829493087557604,7.37231545083036,14.3269025346247,4.20835337542922e-21,4.12418630792064e-18,4.12418630792064e-18,"TRIP13/DTL/RRM1/NDC80/UBE2S/AURKA/TTK/DLGAP5/CCNA2/CDKN3/DONSON/ZWINT/CENPF/BUB1B/SKP2/ACTL6A/FHL1/BIRC5/MAD2L1/NEK2/MELK/CCNB2/CDK1/EIF4EBP1/DBF4/TOPBP1/RRM2/UBE2C/FOXM1/CDC7/CCNB1/BUB1/PRKDC/CDC20/CDC6/CCNE2",36
"GO:0048285","organelle fission","36/212","470/18842",0.0765957446808511,6.80762745885187,13.6013788755678,5.96049288608998e-20,5.00681402431558e-17,5.00681402431558e-17,"TRIP13/DNM1L/NDC80/RAD51AP1/UBE2S/AURKA/TTK/DLGAP5/RALA/CENPA/KIF2C/TPX2/NCAPG2/TOP2A/ZWINT/CENPF/BUB1B/KIF2A/BIRC5/MAD2L1/KIF11/NEK2/PRC1/CDK1/NUSAP1/KIF4A/UBE2C/RACGAP1/SMC3/CCNB1/TUBG1/BUB1/CDC20/NCAPG/PTTG1/SMC2",36
"GO:0000280","nuclear division","34/212","422/18842",0.0805687203791469,7.16073504426361,13.6539221326705,1.46731447282585e-19,1.078476137527e-16,1.078476137527e-16,"TRIP13/NDC80/RAD51AP1/UBE2S/AURKA/TTK/DLGAP5/CENPA/KIF2C/TPX2/NCAPG2/TOP2A/ZWINT/CENPF/BUB1B/KIF2A/BIRC5/MAD2L1/KIF11/NEK2/PRC1/CDK1/NUSAP1/KIF4A/UBE2C/RACGAP1/SMC3/CCNB1/TUBG1/BUB1/CDC20/NCAPG/PTTG1/SMC2",34
"GO:0006260","DNA replication","29/212","313/18842",0.0926517571884984,8.23464343842305,13.7681880018655,1.96671650360235e-18,1.2849214490202e-15,1.2849214490202e-15,"DTL/PCNA/RRM1/SSBP1/GINS1/TYMS/RFC5/CCNA2/GMNN/MCM4/DONSON/ACTL6A/MCM2/MCM6/CDK1/DBF4/MCM7/MSH2/TOPBP1/RFC4/USP1/MCM5/SMC3/CDC7/PCLAF/CDC6/HLTF/ELOC/UBE2V2",29
"GO:0090068","positive regulation of cell cycle process","26/212","252/18842",0.103174603174603,9.1698861934711,13.9280417572715,8.96910092882137e-18,5.27383134614696e-15,5.27383134614696e-15,"DTL/RRM1/NDC80/RAD51AP1/AURKA/GPSM2/DLGAP5/NCAPG2/BIRC5/MAD2L1/CDK1/DBF4/NUSAP1/EZH2/RRM2/UBE2C/RACGAP1/CDC7/CCNB1/BUB1/CDC20/NCAPG/CDC6/CCNE2/SMC2/ECT2",26
