"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PGC",-2.65281538577641,8.32850041169,-10.6152545122192,9.66452679715101e-22,9.06049387232907e-20,38.7248936241727
"CYP4B1",-2.60528203925032,6.89239034956615,-10.2838400361486,1.04614421754076e-20,7.84608163155572e-19,36.3833836503105
"C1orf116",-2.17739859689598,8.13780932494611,-10.7775397956652,2.98295201226582e-22,3.44186770646056e-20,39.8807911217062
"ADH1B",-2.17266118628368,5.45380227649541,-10.231569085166,1.51943059185368e-20,1.08530756560977e-18,36.0165426160425
"SFTPC",-2.02550651597563,9.38216385218145,-6.24607154399083,1.96789987795543e-09,2.04280264147622e-08,10.9711155370096
"SCGB1A1",-2.01409629922473,8.22911405162397,-6.36816963986826,1.00315586661838e-09,1.09834583936319e-08,11.6255254187882
"TSPAN8",-1.95764112544386,7.91951518045735,-6.74530919963874,1.186384543919e-10,1.54075914794676e-09,13.702078973712
"WIF1",-1.95350002172578,5.81690637535747,-7.97673276288093,6.67596511036416e-14,1.7117859257344e-12,21.0087857167863
"FOLR1",-1.94926129014471,9.41417035498654,-9.3474818782036,7.48124087812066e-18,3.50683166161906e-16,29.9267505723415
"COL11A1",1.91861314469306,7.33977174621612,8.56482042809022,1.47037316075664e-15,4.74313922824722e-14,24.746085041685
"CYP2B6",-1.86622508961003,9.6723156770466,-7.54883284014407,9.76635609118125e-13,1.97966677523944e-11,18.3848223096068
"CYP2B7P",-1.86622508961003,9.6723156770466,-7.54883284014407,9.76635609118125e-13,1.97966677523944e-11,18.3848223096068
"RRM2",1.85141970126358,7.47242902902835,12.5013951865964,8.36890502050779e-28,1.25533575307617e-24,52.4571937342374
"SELENBP1",-1.84332082170311,9.14301088288778,-12.0422780327038,2.63445491767119e-26,1.31722745883559e-23,49.0631505799843
"MMP12",1.82041216356535,8.28356409633097,7.94164391532967,8.34454419773854e-14,2.08613604943463e-12,20.7904618109806
