MODULE	GENE
grey	FGG
grey	SPINK1
grey	S100P
grey	MSLN
grey	SCGB1A1
grey	AKR1B10
grey	SFTPC
grey	XIST
grey	TFPI2
grey	RPS4Y1
grey	CALCA
yellow	IGHD
grey	MSMB
grey	AKR1C3
grey	BPIFA1
grey	TSPAN8
red	MAGEA3
grey	PGC
grey	ASCL1
grey	MMP1
grey	SFTPA2
grey	CXCL14
grey	FGB
grey	CEACAM5
grey	HLA-DQA1
grey	AKR1C2
grey	TFF1
turquoise	CYP4B1
grey	CPS1
grey	MUC5B
red	MAGEA6
grey	AKR1C1
grey	PTGS2
grey	AZGP1
grey	WIF1
grey	XAGE1A
grey	XAGE1B
turquoise	CYP2B6
turquoise	CYP2B7P
grey	AMY1A
grey	AMY1B
grey	AMY1C
grey	AMY2A
grey	AMY2B
grey	CXCL5
grey	COL11A1
grey	CCL20
grey	PLA2G4A
grey	PCP4
grey	HPGD
grey	SLC6A14
grey	TOX3
grey	KYNU
grey	SFTPB
grey	DUSP4
grey	PAEP
grey	FGA
grey	PROM1
grey	MUC4
grey	LCN2
grey	HP
grey	HPR
grey	TFF3
grey	UGT1A1
grey	UGT1A10
grey	UGT1A3
grey	UGT1A4
grey	UGT1A5
grey	UGT1A6
grey	UGT1A7
grey	UGT1A8
grey	UGT1A9
grey	CEACAM6
grey	HLA-DRB4
grey	CRLF1
blue	CXCL13
yellow	IGKV4-1
grey	MMP12
grey	PEG10
grey	C4BPA
grey	GPX2
blue	S100A8
yellow	IGHM
grey	PSPH
grey	PSPHP1
turquoise	C1orf116
turquoise	SFTPD
turquoise	ADH1B
grey	AREG
grey	NTS
grey	GREM1
grey	AQP3
turquoise	FOLR1
yellow	IGHV1-69
yellow	IGHV1-69-2
grey	ORM1
grey	ORM2
grey	CYP24A1
yellow	IGKV2-28
yellow	IGKV2D-28
grey	CP
grey	DDX3Y
yellow	IGKV1-17
grey	TM4SF4
grey	EEF1A2
grey	MUC5AC
grey	LGALS4
grey	SLC7A11
yellow	IGHA1
yellow	IGHG1
yellow	IGHV3-23
yellow	IGHV4-31
yellow	IGK
yellow	ZCWPW2
grey	CTSE
grey	HLA-DQB1
grey	EIF5A
grey	DNAJC12
grey	LTF
grey	S100A9
grey	SLPI
grey	CLDN18
grey	CLDN10
grey	MET
grey	MMP7
grey	S100A2
yellow	IGLV3-25
turquoise	FMO5
grey	GDF15
grey	ALDH1A1
grey	IGFBP2
yellow	IGKC
grey	TESC
grey	DMBT1
grey	OLFM4
yellow	IGLV3-10
red	MAGEA12
grey	IGF2
grey	INS-IGF2
grey	AGR2
grey	RNF128
grey	UCHL1
blue	CXCL9
grey	DKK1
grey	SERPINA1
yellow	IGLV2-14
grey	CHI3L1
grey	KRT6A
yellow	POU2AF1
blue	GABBR1
blue	UBD
grey	CXCL8
grey	PCSK1
turquoise	IGF2BP3
grey	NQO1
grey	HOPX
grey	SPP1
grey	AOC1
grey	ALDH3A1
grey	CD24
grey	AHNAK2
grey	APOD
grey	KLK11
grey	PRSS2
turquoise	ADGRF5
grey	GCLC
turquoise	CACNA2D2
yellow	IGKV1-39
yellow	IGKV1D-39
yellow	IGLJ3
yellow	IGLL5
yellow	IGLV3-19
grey	NKX2-1
grey	EREG
grey	PLAT
grey	TF
grey	CES1
grey	CES1P1
grey	LMO3
grey	FLRT3
grey	CA12
grey	TUSC3
grey	SPRR1B
grey	KRT17
yellow	IGKV1-37
yellow	IGKV1D-37
grey	CST1
grey	FGL1
grey	SOX9
grey	LGSN
grey	NMU
yellow	IGHG3
yellow	IGHV3-21
yellow	IGHV3-48
yellow	IGHV3-71
turquoise	PLOD2
grey	TCN1
grey	TCIM
grey	TNC
yellow	IGHA2
yellow	IGHJ4
grey	AQP1
grey	COMP
grey	HBB
grey	CPE
grey	QPCT
grey	LPL
grey	CPM
grey	BAMBI
grey	CRABP2
blue	CCL18
grey	IFI44L
grey	TSPYL5
turquoise	CLU
grey	CLDN3
grey	SERPINA3
grey	KRT15
grey	FGFR3
grey	HBA1
grey	HBA2
grey	SCEL
grey	CADM1
grey	CST6
grey	KIT
turquoise	NDNF
grey	FOSB
grey	ANXA1
grey	LAMP3
red	GAGE1
red	GAGE12D
red	GAGE12F
red	GAGE12G
red	GAGE12I
red	GAGE12J
red	GAGE13
red	GAGE2A
red	GAGE2B
red	GAGE2C
red	GAGE2D
red	GAGE2E
red	GAGE4
red	GAGE5
red	GAGE6
red	GAGE7
red	GAGE8
grey	RARRES1
yellow	IGHV3-30
yellow	IGHV3-33
grey	PNMA2
blue	HLA-DQA2
grey	GPR87
blue	MS4A4A
grey	KCNJ15
grey	PDZK1IP1
grey	ASPN
grey	S100A7
grey	SCGB2A1
grey	TMC5
grey	TRIM2
blue	RGS1
grey	SCG5
grey	IFI27
grey	CALB1
grey	AUTS2
grey	SULF1
grey	FXYD3
turquoise	RNASE1
grey	EGFR
blue	ADAMDEC1
grey	ID1
yellow	IGLV@
red	GAGE12B
red	GAGE12C
red	GAGE12E
red	GAGE12H
grey	SPINK5
grey	DSP
grey	SERPINB3
brown	NEAT1
grey	PRODH
