fromNode	toNode	weight	direction	fromAltName	toAltName
CYP2B6	CYP2B7P	0.512086887371899	undirected	CYP2B6	CYP2B7P
ADH1B	C7	0.102343158796629	undirected	ADH1B	C7
ADH1B	FHL1	0.104497654118729	undirected	ADH1B	FHL1
ADH1B	CHRDL1	0.1152122492086	undirected	ADH1B	CHRDL1
ADH1B	MFAP4	0.0572441849197095	undirected	ADH1B	MFAP4
ADH1B	ABCA8	0.116748931103293	undirected	ADH1B	ABCA8
ADH1B	A2M	0.072042640423828	undirected	ADH1B	A2M
ADH1B	PIR-FIGF	0.10953979527429	undirected	ADH1B	PIR-FIGF
ADH1B	VEGFD	0.10953979527429	undirected	ADH1B	VEGFD
ADH1B	TNXA	0.0511479262664714	undirected	ADH1B	TNXA
ADH1B	TNXB	0.0511479262664714	undirected	ADH1B	TNXB
ADH1B	TCF21	0.0870556807448326	undirected	ADH1B	TCF21
FOLR1	CDC20	0.051366808337209	undirected	FOLR1	CDC20
FOLR1	CCNB1	0.0550502820092984	undirected	FOLR1	CCNB1
FOLR1	PRC1	0.0610845338454637	undirected	FOLR1	PRC1
FOLR1	NUSAP1	0.0534954304301934	undirected	FOLR1	NUSAP1
FOLR1	BUB1B	0.0557368849400263	undirected	FOLR1	BUB1B
FOLR1	TPX2	0.0622265247204774	undirected	FOLR1	TPX2
FOLR1	MELK	0.051605892380231	undirected	FOLR1	MELK
FOLR1	BIRC5	0.0519951321613829	undirected	FOLR1	BIRC5
FOLR1	CENPA	0.0502702283729513	undirected	FOLR1	CENPA
FOLR1	KIF4A	0.0558996787146449	undirected	FOLR1	KIF4A
FOLR1	CCNB2	0.0550924247699496	undirected	FOLR1	CCNB2
FOLR1	KIF2C	0.0517656508389468	undirected	FOLR1	KIF2C
SELENBP1	TPX2	0.0604754773954886	undirected	SELENBP1	TPX2
TOP2A	RRM2	0.143298054349632	undirected	TOP2A	RRM2
TOP2A	ASPM	0.152674601024771	undirected	TOP2A	ASPM
TOP2A	ECT2	0.0541324926177285	undirected	TOP2A	ECT2
TOP2A	CDC20	0.124898087092721	undirected	TOP2A	CDC20
TOP2A	CCNB1	0.162869983770091	undirected	TOP2A	CCNB1
TOP2A	PRC1	0.194604134899763	undirected	TOP2A	PRC1
TOP2A	PBK	0.0920909518484271	undirected	TOP2A	PBK
TOP2A	UBE2C	0.0836791055774855	undirected	TOP2A	UBE2C
TOP2A	CENPU	0.103795424194203	undirected	TOP2A	CENPU
TOP2A	CEP55	0.158134146470042	undirected	TOP2A	CEP55
TOP2A	MAD2L1	0.160445488637938	undirected	TOP2A	MAD2L1
TOP2A	PCLAF	0.110160629021421	undirected	TOP2A	PCLAF
TOP2A	AURKA	0.107780443307257	undirected	TOP2A	AURKA
TOP2A	TYMS	0.106455043331604	undirected	TOP2A	TYMS
TOP2A	NUSAP1	0.188130101481529	undirected	TOP2A	NUSAP1
TOP2A	ZWINT	0.13385609899758	undirected	TOP2A	ZWINT
TOP2A	CDKN3	0.131502034424523	undirected	TOP2A	CDKN3
TOP2A	CDK1	0.134722398144366	undirected	TOP2A	CDK1
TOP2A	CKS2	0.100445696329184	undirected	TOP2A	CKS2
TOP2A	BUB1B	0.186648480738894	undirected	TOP2A	BUB1B
TOP2A	MTHFD2	0.0532991781246788	undirected	TOP2A	MTHFD2
TOP2A	DLGAP5	0.157067402731144	undirected	TOP2A	DLGAP5
TOP2A	NEK2	0.170617622241479	undirected	TOP2A	NEK2
TOP2A	UBE2S	0.0858314098911613	undirected	TOP2A	UBE2S
TOP2A	GINS1	0.100654505611198	undirected	TOP2A	GINS1
TOP2A	TPX2	0.154324510462249	undirected	TOP2A	TPX2
TOP2A	HMGB2	0.0735507881048199	undirected	TOP2A	HMGB2
TOP2A	MELK	0.157009047702339	undirected	TOP2A	MELK
TOP2A	RFC4	0.0786276409706677	undirected	TOP2A	RFC4
TOP2A	RACGAP1	0.157939691837848	undirected	TOP2A	RACGAP1
TOP2A	BIRC5	0.129544856015726	undirected	TOP2A	BIRC5
TOP2A	CENPA	0.135409211152199	undirected	TOP2A	CENPA
TOP2A	TRIP13	0.0927719596429167	undirected	TOP2A	TRIP13
TOP2A	CENPF	0.159557012105397	undirected	TOP2A	CENPF
TOP2A	FOXM1	0.103830564238302	undirected	TOP2A	FOXM1
TOP2A	DTL	0.120405644954061	undirected	TOP2A	DTL
TOP2A	MCM4	0.093173534239338	undirected	TOP2A	MCM4
TOP2A	KIF11	0.135353128757752	undirected	TOP2A	KIF11
TOP2A	KIF4A	0.16032969456169	undirected	TOP2A	KIF4A
TOP2A	SMC2	0.068799469757197	undirected	TOP2A	SMC2
TOP2A	PTTG1	0.0775129600311286	undirected	TOP2A	PTTG1
TOP2A	TTK	0.123803665427427	undirected	TOP2A	TTK
TOP2A	CKS1B	0.076997252889869	undirected	TOP2A	CKS1B
TOP2A	CCNB2	0.156180722862343	undirected	TOP2A	CCNB2
TOP2A	SKP2	0.0597459982717273	undirected	TOP2A	SKP2
TOP2A	MCM6	0.105954467202084	undirected	TOP2A	MCM6
TOP2A	EZH2	0.100799470975591	undirected	TOP2A	EZH2
TOP2A	KPNA2	0.0560947101973892	undirected	TOP2A	KPNA2
TOP2A	PCNA	0.0719203544385906	undirected	TOP2A	PCNA
TOP2A	NDC80	0.101156040453674	undirected	TOP2A	NDC80
TOP2A	MCM2	0.0929324325411817	undirected	TOP2A	MCM2
TOP2A	RAD51AP1	0.105102345282642	undirected	TOP2A	RAD51AP1
TOP2A	BUB1	0.162830443720518	undirected	TOP2A	BUB1
TOP2A	HMMR	0.10687607805958	undirected	TOP2A	HMMR
TOP2A	ATAD2	0.0794957897317478	undirected	TOP2A	ATAD2
TOP2A	CCNE2	0.0845850273049724	undirected	TOP2A	CCNE2
TOP2A	NCAPG	0.115354467136146	undirected	TOP2A	NCAPG
TOP2A	TMPO	0.0771577811240556	undirected	TOP2A	TMPO
TOP2A	FANCI	0.113867567484789	undirected	TOP2A	FANCI
TOP2A	KIF20A	0.123713138084935	undirected	TOP2A	KIF20A
TOP2A	HELLS	0.0749484576971994	undirected	TOP2A	HELLS
TOP2A	VRK1	0.058449389526028	undirected	TOP2A	VRK1
TOP2A	CCNA2	0.110848512114632	undirected	TOP2A	CCNA2
TOP2A	DBF4	0.0617174485174023	undirected	TOP2A	DBF4
TOP2A	LMNB1	0.0954301290270993	undirected	TOP2A	LMNB1
TOP2A	CDC6	0.096514981242547	undirected	TOP2A	CDC6
TOP2A	DONSON	0.0574519429581971	undirected	TOP2A	DONSON
TOP2A	NUP155	0.0540763203215274	undirected	TOP2A	NUP155
TOP2A	H2AX	0.0660869695630001	undirected	TOP2A	H2AX
TOP2A	OIP5	0.0852149321413766	undirected	TOP2A	OIP5
TOP2A	KIF2C	0.14620834728047	undirected	TOP2A	KIF2C
TOP2A	NCAPG2	0.0978656821881421	undirected	TOP2A	NCAPG2
TOP2A	MCM5	0.0621509836139133	undirected	TOP2A	MCM5
TOP2A	CDC7	0.0708048282579891	undirected	TOP2A	CDC7
TOP2A	RANBP1	0.0585591325984832	undirected	TOP2A	RANBP1
TOP2A	TUBG1	0.0663869664982177	undirected	TOP2A	TUBG1
TOP2A	RFC5	0.0805420642088442	undirected	TOP2A	RFC5
TOP2A	MCM7	0.0646896898898146	undirected	TOP2A	MCM7
RRM2	ASPM	0.141219656233371	undirected	RRM2	ASPM
RRM2	ECT2	0.0711762125284769	undirected	RRM2	ECT2
RRM2	GGH	0.0598272800058661	undirected	RRM2	GGH
RRM2	CDC20	0.127118625337789	undirected	RRM2	CDC20
RRM2	CCNB1	0.16669779555952	undirected	RRM2	CCNB1
RRM2	PRC1	0.196193824772282	undirected	RRM2	PRC1
RRM2	PBK	0.117474400906928	undirected	RRM2	PBK
RRM2	UBE2C	0.10502323300131	undirected	RRM2	UBE2C
RRM2	CENPU	0.1232505450596	undirected	RRM2	CENPU
RRM2	CEP55	0.153861311820929	undirected	RRM2	CEP55
RRM2	MAD2L1	0.168148683801599	undirected	RRM2	MAD2L1
RRM2	PCLAF	0.146310027075095	undirected	RRM2	PCLAF
RRM2	AURKA	0.136572398174653	undirected	RRM2	AURKA
RRM2	TYMS	0.135656396570331	undirected	RRM2	TYMS
RRM2	NUSAP1	0.18862635909909	undirected	RRM2	NUSAP1
RRM2	ZWINT	0.147854831230133	undirected	RRM2	ZWINT
RRM2	CDKN3	0.138875922178421	undirected	RRM2	CDKN3
RRM2	CDK1	0.139263590528262	undirected	RRM2	CDK1
RRM2	CKS2	0.135756767905464	undirected	RRM2	CKS2
RRM2	BUB1B	0.182841038887141	undirected	RRM2	BUB1B
RRM2	MTHFD2	0.0735654195460738	undirected	RRM2	MTHFD2
RRM2	DLGAP5	0.148234445690271	undirected	RRM2	DLGAP5
RRM2	NEK2	0.161885684237134	undirected	RRM2	NEK2
RRM2	UBE2S	0.106086512227766	undirected	RRM2	UBE2S
RRM2	GINS1	0.119454336012265	undirected	RRM2	GINS1
RRM2	TPX2	0.15400848977673	undirected	RRM2	TPX2
RRM2	HMGB2	0.0836698557060122	undirected	RRM2	HMGB2
RRM2	MELK	0.156429264593887	undirected	RRM2	MELK
