"Gene","kME","abs_kME","Module"
"IGKV1OR2-108",0.969730496901707,0.969730496901707,"yellow"
"IGKV1OR1-1",0.968695108725734,0.968695108725734,"yellow"
"IGKV1OR2-118",0.968695108725734,0.968695108725734,"yellow"
"IGKV1D-13",0.968309707139583,0.968309707139583,"yellow"
"IGLV@",0.964899311846885,0.964899311846885,"yellow"
"GAGE1",0.968733434788641,0.968733434788641,"red"
"GAGE12D",0.968733434788641,0.968733434788641,"red"
"GAGE12F",0.968733434788641,0.968733434788641,"red"
"GAGE12G",0.968733434788641,0.968733434788641,"red"
"GAGE12I",0.968733434788641,0.968733434788641,"red"
"MAD2L1",0.928935350121643,0.928935350121643,"turquoise"
"CEP55",0.900367665310921,0.900367665310921,"turquoise"
"BUB1B",0.900093716205344,0.900093716205344,"turquoise"
"RACGAP1",0.896208614189647,0.896208614189647,"turquoise"
"PRC1",0.895067901662476,0.895067901662476,"turquoise"
"CD53",0.943189730252543,0.943189730252543,"blue"
"DOCK2",0.908794804310884,0.908794804310884,"blue"
"LAPTM5",0.904757777467811,0.904757777467811,"blue"
"FCER1G",0.894889499148803,0.894889499148803,"blue"
"GMFG",0.894501780007976,0.894501780007976,"blue"
"ZNF638",0.913875225733258,0.913875225733258,"brown"
"SLTM",0.913126725536298,0.913126725536298,"brown"
"TIA1",0.912692749904616,0.912692749904616,"brown"
"BLTP1",0.905948775349305,0.905948775349305,"brown"
"RBM39",0.905279474621603,0.905279474621603,"brown"
