MODULE	GENE
black	LDHB
black	MGP
black	CD59
black	COX6C
black	HSPD1
black	PLAT
black	EIF3H
black	FLNA
black	UQCRH
black	ANXA5
black	FHL1
black	RGCC
black	COX7B
black	NCL
black	MYH11
black	SEM1
black	TNS1
black	ACTN4
black	PLXNB2
black	LEPROT
black	MDH1
black	LTBP2
black	NARS1
black	PPM1J
black	RHOC
black	VCL
black	AGRN
black	ACAT1
black	ACTN1
black	P2RX5-TAX1BP3
black	TAX1BP3
black	TNFRSF12A
black	MXRA8
black	RTL8C
black	TCF4
black	NDUFV2
black	GADD45B
black	PCDHGA1
black	PCDHGA10
black	PCDHGA11
black	PCDHGA12
black	PCDHGA2
black	PCDHGA3
black	PCDHGA4
black	PCDHGA5
black	PCDHGA6
black	PCDHGA7
black	PCDHGA8
black	PCDHGA9
black	PCDHGB1
black	PCDHGB2
black	PCDHGB3
black	PCDHGB4
black	PCDHGB5
black	PCDHGB6
black	PCDHGB7
black	PCDHGC3
black	PCDHGC4
black	PCDHGC5
black	TMEM14B
black	EFNB2
black	KLF6
black	ARHGAP1
black	PDHB
black	TCP1
black	ITGB4
black	EMP1
black	DEPP1
black	PPP1CC
black	HADHB
black	SNRPD1
black	CAVIN1
black	CD93
black	HNRNPA3
black	HNRNPA3P1
black	DHRS9
black	COXFA4L2
black	HSPG2
black	IDI1
black	MFAP4
black	PMEPA1
black	PLSCR3
black	TMEM256-PLSCR3
black	FMO2
black	CACYBP
black	AGER
black	TMEM70
black	NR2F2
black	MRC2
black	MCAM
black	ITGA5
black	GUCY1A1
black	ACP1
black	NOL7
black	NOLC1
black	PALM2AKAP2
black	BHLHE41
black	ELN
black	MRPL42
black	CDCP1
black	CDKN1A
black	GNL3
black	NR2F1
black	EHD2
black	CDK1
black	SPRY1
black	SRPX
black	ZNF185
black	KANK2
black	MAP4
black	EDN1
black	EPHA2
black	SFXN3
black	TMEM100
black	VIPR1
black	FBLN5
black	RRAS
black	PLOD1
black	PLXNA1
black	MRPL13
black	RGS3
black	SLBP
black	TGFB1I1
black	SMYD2
black	SPTAN1
black	ENG
