MODULE	GENE
blue	HLA-DRB1
blue	HLA-DRB4
blue	HLA-B
blue	HLA-DRB5
blue	CD74
blue	HLA-C
blue	HLA-A
blue	HLA-DRB3
blue	B2M
blue	HLA-DRA
blue	MT2A
blue	ODC1
blue	HLA-G
blue	VIM
blue	HLA-DPA1
blue	HLA-DPB1
blue	ATP1B1
blue	A2M
blue	HLA-F
blue	C3
blue	SPP1
blue	PSAP
blue	LAPTM4B
blue	TMSB4X
blue	CTSB
blue	HLA-E
blue	IFI30
blue	MT1X
blue	SCNN1A
blue	HLA-DQB1
blue	HLA-DQA1
blue	HLA-DQA2
blue	MT1E
blue	TGFBI
blue	CCL18
blue	GPNMB
blue	MT1HL1
blue	MMP7
blue	RHOB
blue	C1S
blue	GABBR1
blue	UBD
blue	LAPTM5
blue	CXCL9
blue	RGS1
blue	CTSC
blue	PTGDS
blue	CD55
blue	LYZ
blue	HLA-DMA
blue	WARS1
blue	PLAAT4
blue	MT1H
blue	HLA-J
blue	VAPA
blue	ARHGDIB
blue	STAT1
blue	MMP12
blue	HLA-DMB
blue	MMP9
blue	CIT
blue	EPCAM
blue	IRS2
blue	APOE
blue	NDUFS5
blue	DSP
blue	APOC1
blue	LIPA
blue	C1QB
blue	SGK1
blue	CD44
blue	SRGN
blue	MAGED1
blue	GPX1
blue	CPE
blue	CXCL10
blue	PSMB9
blue	VOPP1
blue	EFEMP1
blue	GRN
blue	ARL6IP5
blue	DUSP4
blue	PSME2
blue	OAT
blue	C1QA
blue	MORF4L2
blue	SDCBP
blue	MTUS1
blue	TYROBP
blue	MT1G
blue	ARPC2
blue	ZFP36L2
blue	FXYD5
blue	TMEM176B
blue	TAPBP
blue	GLRX
blue	IFI16
blue	IDO1
blue	FBP1
blue	SPTSSA
blue	CCT3
blue	GTF2I
blue	GTF2IP1
blue	GTF2IP4
blue	CTSS
blue	CAV1
blue	ALOX5AP
blue	KIT
blue	CTSL
blue	LITAF
blue	MRC1
blue	TOB1
blue	RAB25
blue	H1-0
blue	EFNA1
blue	CAP1
blue	CXCR4
blue	MT1F
blue	NUPR1
blue	CD14
blue	ALDH3A2
blue	CTNNA1
blue	SERPING1
blue	FCER1G
blue	TPSAB1
blue	TPSB2
blue	CXCL13
blue	DDR1
blue	CD53
blue	CTTN
blue	RAC2
blue	GSTO1
blue	SC5D
blue	CLEC2B
blue	FUCA1
blue	HEXB
blue	CD163
blue	C1R
blue	TNFAIP3
blue	SH3BGRL3
blue	MAPK1IP1L
blue	SNRPE
blue	SQOR
blue	ACLY
blue	ERBB3
blue	PLTP
blue	TACC2
blue	RBM47
blue	CFLAR
blue	TAP1
blue	BNIP3
blue	ELF3
blue	CXADR
blue	TMT1A
blue	ZBTB18
blue	CTSD
blue	WDR45B
blue	TGM2
blue	DNAJC12
blue	PPT1
blue	JUP
blue	GBP1
blue	TRBC1
blue	TRBV19
blue	JPT2
blue	CCL2
blue	MARCKS
blue	LAP3
blue	UBE2L6
blue	ADI1
blue	C7
blue	TNFAIP2
blue	CCL19
blue	PEA15
blue	ITGB2
