MODULE	GENE
brown	PTPRO
brown	HMGB1
brown	HSPA8
brown	PGK1
brown	PKM
brown	SLC25A5
brown	ATP5F1B
brown	YBX1
brown	DDX17
brown	SLC25A3
brown	KDELR2
brown	TMEM258
brown	RHOA
brown	PCBP2
brown	CLIC1
brown	PGAM1
brown	NPIPB11
brown	NPIPB13
brown	NPIPB3
brown	NPIPB4
brown	NPIPB5
brown	LRRFIP1
brown	NDUFA1
brown	CIST1
brown	PDE4C
brown	SNRPD2
brown	ATP5MJ
brown	ATP6V1G2-DDX39B
brown	DDX39B
brown	NPIPA1
brown	NPIPA2
brown	NPIPA3
brown	NPIPA5
brown	NPIPA7
brown	NPIPA8
brown	NPIPB10P
brown	PKD1P1
brown	NDUFB4
brown	ATP5PD
brown	H2AZ1
brown	DBT
brown	VDAC2
brown	TNPO1
brown	PSMA7
brown	DYNLL1
brown	SNX3
brown	NBPF10
brown	NBPF12
brown	NBPF15
brown	NBPF19
brown	NBPF20
brown	NBPF26
brown	NBPF8
brown	NBPF9
brown	NOP10
brown	GNG5
brown	SRRM2
brown	DDOST
brown	EIF3K
brown	DAZAP2
brown	NBPF11
brown	ARPC1A
brown	LOC102724250
brown	NBPF1
brown	NBPF14
brown	NBPF25P
brown	NOTCH2NLB
brown	NEAT1
brown	MBNL1
brown	DAD1
brown	NUCKS1
brown	MACF1
brown	ZC3H11A
brown	ZC3H11C
brown	PSMA1
brown	USP34
brown	SPCS1
brown	PSMB5
brown	NOTCH2NLA
brown	ST13
brown	SRSF5
brown	CTBP2
brown	BCL2L2-PABPN1
brown	PABPN1
brown	PCBP1
brown	NKTR
brown	TMC5
brown	CSNK1A1
brown	EIF4H
brown	LUC7L3
brown	AHR
brown	LAMTOR5
brown	FDFT1
brown	TNFAIP8L1
brown	GAK
brown	SLC35E1
brown	PGGHG
brown	ZNF721
brown	SELENOT
brown	ANKRD36B
brown	WDR1
brown	KHDC4
brown	COX7A2L
brown	AP2M1
brown	PSMD8
brown	RO60
brown	POLR2G
brown	CDC42BPA
brown	LRRC59
brown	ORMDL2
brown	RBX1
brown	GOLGA8A
brown	HAUS2
brown	ZNF207
brown	GORASP2
brown	UBXN4
brown	SLC25A16
brown	ZNF160
brown	ZDHHC11
brown	ZDHHC11B
brown	CDK5RAP3
brown	N4BP2L2
brown	ZNF638
brown	OPHN1
brown	TPR
brown	NSUN5P1
brown	NSUN5P2
brown	STX16
brown	GOLGA8B
brown	SYPL1
brown	UXT
brown	TMX2
brown	PGF
brown	SNRNP70
brown	CCT7
brown	TBC1D3
brown	TBC1D3B
brown	TBC1D3C
brown	TBC1D3D
brown	TBC1D3E
brown	TBC1D3F
brown	TBC1D3G
brown	TBC1D3H
brown	TBC1D3I
brown	TBC1D3K
brown	TBC1D3L
brown	UBL5
brown	CELF1
brown	PRR11
brown	ECHDC2
brown	PPIF
brown	CMAHP
brown	ZMIZ2
brown	FKSG49
brown	MBD4
brown	ANKRD10
brown	ATP8B1
brown	SYNCRIP
brown	LINC00342
brown	ARCN1
brown	RAB3GAP1
brown	PKN2
brown	KDM6B
brown	MSL1
brown	NSUN5
brown	MAP2K3
brown	DICER1
brown	MAST4
brown	SGSM2
brown	CLK2
brown	ITFG1
brown	OFD1
brown	GLB1
brown	IPO9
brown	MTA1
brown	SEC13
brown	MRPS12
brown	UBE2D2
brown	TRIM33
brown	SCAF11
brown	TMEM230
brown	TRAPPC4
brown	COL4A3
brown	PMS2P1
brown	RAB7A
brown	TCIRG1
brown	SRRT
brown	EMG1
brown	GLRX3
brown	NISCH
brown	DIABLO
brown	INSR
brown	SUPT4H1
brown	ANXA7
brown	BPTF
brown	DCTN3
brown	MINK1
brown	TENT4A
brown	HEBP1
brown	TRA2A
brown	DYNC1LI2
brown	CHKB
brown	FBXW12
brown	EXPH5
brown	IPO4
brown	TM9SF1
brown	CCNL2
brown	GTF2A2
brown	ZNF117
brown	RGL2
brown	PMS2P10
brown	PMS2P13
brown	PMS2P2
brown	PMS2P5
brown	PMS2P6
brown	PMS2P7
brown	EMC7
brown	SNRPC
brown	GABRE
brown	SETD5
brown	PILRB
brown	STAG3L5P-PVRIG2P-PILRB
brown	PI4KB
brown	FHOD1
brown	TRAF5
brown	WDR6
brown	MRPS14
brown	TCF7
brown	RERE
brown	PLXNA2
brown	WASHC4
brown	RALGDS
brown	LARS1
brown	STOML2
brown	FUS
brown	CAMLG
brown	NUMA1
brown	USP4
brown	PMS2P3
brown	ENOSF1
brown	LEPROTL1
brown	USP47
