MODULE	GENE
green	CYAT1
green	IGLC1
green	IGLC2
green	IGLC3
green	IGLC7
green	IGLJ3
green	IGLL5
green	IGLV1-44
green	IGLV3-25
green	IGLV4-3
green	IGHG1
green	IGHG3
green	IGHM
green	IGHV4-31
green	BMS1P20
green	IGLJ2
green	IGLV3-19
green	IGK
green	IGKC
green	IGKV1-5
green	IGKV2-24
green	IGH
green	IGHA1
green	IGHA2
green	IGKV1D-13
green	IGKV1-39
green	IGKV1D-39
green	IGKV2-28
green	IGKV2D-28
green	IGKV1OR2-108
green	IGLL3P
green	IGLV2-14
green	IGKV1-17
green	IGKV4-1
green	IGHV1-69
green	IGHV1-69-2
green	IGHD
green	IGKV1-37
green	IGKV1D-37
green	IGKV1OR1-1
green	IGKV1OR2-118
green	SSR4
green	IGHV3-21
green	IGHV3-48
green	IGHV3-71
green	IGLV@
green	IGLV3-10
green	IGHJ4
green	IGHV3-23
green	ZCWPW2
green	CAPN2
green	TM4SF1
green	LTF
green	DSTN
green	TMA7
green	ALCAM
green	GUSBP11
green	JCHAIN
green	CDH1
green	UCP2
green	XBP1
green	BLOC1S5-TXNDC5
green	TXNDC5
green	MYL12B
green	FKBP11
green	SERP1
green	HERPUD1
green	MET
green	SKP1
green	PRDX4
green	IGHV3-20
green	ABCC3
green	IGHG2
green	IGHJ5
green	YWHAQ
green	CYBA
green	SKAP2
green	SPCS2
green	KARS1
green	IGHV3-30
green	IGHV3-33
green	PACSIN2
green	CRELD2
green	MKNK2
green	SH3YL1
green	BTG1
green	ST6GAL1
green	MZB1
green	POU2AF1
green	PPP2CB
green	DNAJB9
green	RABAC1
green	EIF3D
green	SPCS2P4
green	CRYZ
green	BTG2
green	CTBP1
green	SCRN1
green	MYDGF
green	ADK
green	SRPRA
green	SEL1L
green	SPCS3
green	VDAC1
green	VBP1
green	MANF
green	PIM2
green	IGLV4-60
green	TES
green	ATP9A
green	ISG20
green	FKBP2
green	RASA1
green	DCTD
green	ATP2A3
green	H1-10
green	DERL1
green	NDFIP1
green	SPRY4
green	DYNLT3
green	STK39
green	CCDC47
green	TTC19
green	MSMO1
green	DGKD
green	ERP44
green	SEC14L1
green	BLCAP
green	ITM2C
green	ATP6V1D
green	CLCN3
green	ICAM2
green	CD79A
green	ADH5
green	SMS
green	TXNDC15
green	CTNND1
green	TMX2-CTNND1
green	IGHV3-13
green	KLHDC10
green	IGHV4-61
green	LOC102723407
green	GBE1
green	ARL4A
green	ABR
green	GSPT1
green	PKIG
green	PPCS
green	CFAP20
green	CD38
green	BDH2
green	CEP15
green	CLPTM1
green	CD27
green	SRRM1
green	PLVAP
green	KIAA0930
green	SVIL
green	GRAMD2B
green	CTNNAL1
green	ACVR1
green	GPBP1L1
green	SPRED2
green	TJP2
green	LRBA
green	SPAG9
green	GET1
green	CRTC3
green	UBE2J1
green	RPS6KA3
green	PRKD2
green	BAG5
green	RSL1D1
