MODULE	GENE
greenyellow	AKR1C1
greenyellow	AKR1C2
greenyellow	S100P
greenyellow	AKR1C3
greenyellow	AKR1B10
greenyellow	PRDX1
greenyellow	NQO1
greenyellow	GPX2
greenyellow	TXNRD1
greenyellow	CES1
greenyellow	CES1P1
greenyellow	GSTP1
greenyellow	TKT
greenyellow	TALDO1
greenyellow	RAB5IF
greenyellow	TGIF2-RAB5IF
greenyellow	UCHL1
greenyellow	CBR1
greenyellow	TXN
greenyellow	UGT1A1
greenyellow	UGT1A10
greenyellow	UGT1A4
greenyellow	UGT1A6
greenyellow	UGT1A8
greenyellow	UGT1A9
greenyellow	PFN2
greenyellow	SOD1
greenyellow	KYNU
greenyellow	UGT1A3
greenyellow	UGT1A5
greenyellow	UGT1A7
greenyellow	IDH1
greenyellow	ALDH3A1
greenyellow	GCLC
greenyellow	UGDH
greenyellow	PRDX6
greenyellow	PGD
greenyellow	G6PD
greenyellow	ATP5MC3
greenyellow	OPN3
greenyellow	ALDH1A1
greenyellow	CA12
greenyellow	SLC7A11
greenyellow	GSTA1
greenyellow	GSTA2
greenyellow	GCLM
greenyellow	HSPE1
greenyellow	GSTM3
greenyellow	MSRB1
greenyellow	TMEM97
greenyellow	PSMD14
greenyellow	HTATIP2
greenyellow	GULP1
greenyellow	MEGF9
greenyellow	BLVRB
greenyellow	TMEM14A
greenyellow	CBR3
greenyellow	BHMT2
greenyellow	ME1
greenyellow	NR0B1
greenyellow	NDUFB3
greenyellow	HGD
greenyellow	TRIM16
greenyellow	ABCC1
greenyellow	TSPAN7
greenyellow	GSR
greenyellow	ADH1C
greenyellow	GLA
greenyellow	PIR
greenyellow	ACOT13
greenyellow	TSKU
