MODULE	GENE
grey	FGG
grey	SPINK1
grey	S100P
grey	MSLN
grey	SCGB1A1
grey	AKR1B10
grey	SFTPC
grey	XIST
grey	TFPI2
grey	RPS4Y1
grey	CALCA
grey	MSMB
grey	AKR1C3
grey	BPIFA1
grey	TSPAN8
grey	PGC
grey	ASCL1
grey	MMP1
grey	SFTPA2
grey	CXCL14
grey	FGB
grey	CEACAM5
grey	HLA-DQA1
grey	AKR1C2
grey	TFF1
grey	CPS1
grey	MUC5B
grey	AKR1C1
grey	PTGS2
grey	AZGP1
grey	WIF1
grey	XAGE1A
grey	XAGE1B
grey	AMY1A
grey	AMY1B
grey	AMY1C
grey	AMY2A
grey	AMY2B
grey	CXCL5
grey	COL11A1
grey	CCL20
grey	PLA2G4A
grey	PCP4
grey	HPGD
grey	SLC6A14
grey	TOX3
grey	KYNU
grey	SFTPB
grey	DUSP4
grey	PAEP
grey	FGA
grey	PROM1
grey	MUC4
grey	LCN2
grey	HP
grey	HPR
grey	TFF3
grey	UGT1A1
grey	UGT1A10
grey	UGT1A3
grey	UGT1A4
grey	UGT1A5
grey	UGT1A6
grey	UGT1A7
grey	UGT1A8
grey	UGT1A9
grey	CEACAM6
grey	HLA-DRB4
grey	CRLF1
grey	MMP12
grey	PEG10
grey	C4BPA
grey	GPX2
grey	PSPH
grey	PSPHP1
grey	AREG
grey	NTS
grey	GREM1
grey	AQP3
grey	ORM1
grey	ORM2
grey	CYP24A1
grey	CP
grey	DDX3Y
grey	TM4SF4
grey	EEF1A2
grey	MUC5AC
grey	LGALS4
grey	SLC7A11
grey	CTSE
grey	HLA-DQB1
grey	EIF5A
grey	DNAJC12
grey	LTF
grey	S100A9
grey	SLPI
grey	CLDN18
grey	CLDN10
grey	MET
grey	MMP7
grey	S100A2
grey	GDF15
grey	ALDH1A1
grey	IGFBP2
grey	TESC
grey	DMBT1
grey	OLFM4
grey	IGF2
grey	INS-IGF2
grey	AGR2
grey	RNF128
grey	UCHL1
grey	DKK1
grey	SERPINA1
grey	CHI3L1
grey	KRT6A
grey	CXCL8
grey	PCSK1
grey	NQO1
grey	HOPX
grey	SPP1
grey	AOC1
grey	ALDH3A1
grey	CD24
grey	AHNAK2
grey	APOD
grey	KLK11
grey	PRSS2
grey	GCLC
grey	NKX2-1
grey	EREG
grey	PLAT
grey	TF
grey	CES1
grey	CES1P1
grey	LMO3
grey	FLRT3
grey	CA12
grey	TUSC3
grey	SPRR1B
grey	KRT17
grey	CST1
grey	FGL1
grey	SOX9
grey	LGSN
grey	NMU
grey	TCN1
grey	TCIM
grey	TNC
grey	AQP1
grey	COMP
grey	HBB
grey	CPE
grey	QPCT
grey	LPL
grey	CPM
grey	BAMBI
grey	CRABP2
grey	IFI44L
grey	TSPYL5
grey	CLDN3
grey	SERPINA3
grey	KRT15
grey	FGFR3
grey	HBA1
grey	HBA2
grey	SCEL
grey	CADM1
grey	CST6
grey	KIT
grey	FOSB
grey	ANXA1
grey	LAMP3
grey	RARRES1
grey	PNMA2
grey	GPR87
grey	KCNJ15
grey	PDZK1IP1
grey	ASPN
grey	S100A7
grey	SCGB2A1
grey	TMC5
grey	TRIM2
grey	SCG5
grey	IFI27
grey	CALB1
grey	AUTS2
grey	SULF1
grey	FXYD3
grey	EGFR
grey	ID1
grey	SPINK5
grey	DSP
grey	SERPINB3
grey	PRODH
grey	KDM5D
grey	HGD
grey	TMEM45A
grey	PLAC8
grey	TPSAB1
grey	TPSB2
grey	HLA-DQB2
grey	CXCL2
grey	ODC1
grey	GSTA1
grey	GSTA2
grey	STEAP1
grey	CA2
grey	VCAN
grey	PON3
grey	CYP1B1
grey	ERAP2
grey	COL1A1
grey	NR4A2
grey	DPP4
grey	MLLT11
grey	BMP2
grey	PTPN13
grey	COL4A3
grey	SLC4A4
grey	ITGB6
grey	LINC02478
grey	CD55
grey	CHGB
grey	PLAU
grey	SERPINB5
grey	ANK3
grey	IFI44
grey	MECOM
grey	TFPI
grey	HMGB3
grey	ZDHHC11
grey	ZDHHC11B
grey	SLC1A1
grey	HOXD1
grey	PMAIP1
grey	F2RL1
grey	GJA1
grey	CMAHP
grey	CIT
grey	HMGA2
grey	COL10A1
grey	ANXA10
grey	CAV2
grey	TM4SF1
grey	ABCA3
grey	CFB
grey	IFT57
grey	TNFSF10
grey	SERPIND1
grey	PHLDA1
grey	POSTN
grey	EPHX1
grey	GCNT3
grey	AMIGO2
grey	CXCL1
grey	WFDC2
grey	PSCA
grey	GSTT1
grey	CHL1
grey	COL15A1
grey	KLF4
grey	REG1A
grey	LIMCH1
grey	TXNRD1
grey	NAMPT
grey	ASPH
grey	MALL
grey	KLK12
grey	DEFB1
grey	MUC1
grey	CEMIP
grey	C5
grey	AZGP1P1
grey	DLK1
grey	TACSTD2
grey	COL5A2
grey	ICAM1
grey	LAMA3
grey	CDH3
grey	SEMA3C
grey	ALOX15B
grey	IFIT1
grey	DHRS2
grey	ALB
grey	PLA2G10
grey	TACC2
grey	TUBB2B
grey	ADM
grey	FOS
grey	SFRP4
grey	TENM1
grey	SLC2A10
grey	ANXA3
grey	F3
