MODULE	GENE
magenta	SERPINA1
magenta	APOA2
magenta	IGF2
magenta	INS-IGF2
magenta	DLK1
magenta	VTN
magenta	BASP1
magenta	TF
magenta	UQCR10
magenta	RNASET2
magenta	AMBP
magenta	ATP5MG
magenta	APOA1
magenta	ASS1
magenta	ALB
magenta	AHSG
magenta	PLA2G2A
magenta	CFB
magenta	PEBP1
magenta	AGT
magenta	NDUFC2
magenta	SNRPN
magenta	SNURF
magenta	SCD
magenta	RBP4
magenta	ORM1
magenta	RANBP1
magenta	APOB
magenta	SERPIND1
magenta	ORM2
magenta	APOH
magenta	APOC3
magenta	TIMM8B
magenta	FST
magenta	GPC3
magenta	AHCY
magenta	GGA1
magenta	RCN1
magenta	C5
magenta	ITIH3
magenta	APOC2
magenta	APOC4-APOC2
magenta	ELOC
magenta	NIPSNAP1
magenta	CPB2
magenta	LBP
magenta	FH
magenta	SDHA
magenta	PAH
magenta	ITIH2
magenta	SLC39A14
magenta	C2
magenta	HABP2
magenta	ANG
magenta	NOP56
magenta	MAN1A1
magenta	HPX
magenta	CRH
magenta	PITPNB
magenta	HMGCS2
magenta	MPST
magenta	FBXO7
magenta	ATP5MC1
magenta	F2
magenta	GC
magenta	CPT1A
magenta	MRPS28
magenta	IGFBP1
magenta	SDC2
magenta	PPP2R1B
magenta	DDT
magenta	DDTL
magenta	GLRX5
magenta	MPC1
magenta	TTR
magenta	ASGR2
magenta	TM4SF5
magenta	MRPL40
magenta	TMEM223
magenta	HSD17B2
magenta	HAL
