MODULE	GENE
pink	SPINK1
pink	AGR2
pink	TFF1
pink	TSPAN8
pink	PRSS2
pink	CTSE
pink	MUC5AC
pink	TFF2
pink	SERPINA3
pink	MSMB
pink	CLDN18
pink	TM4SF4
pink	FXYD3
pink	SPINK4
pink	REG1A
pink	SPTBN1
pink	GKN1
pink	LGALS4
pink	OLFM4
pink	TCN1
pink	BACE2
pink	ANXA4
pink	TSPAN1
pink	ANXA10
pink	PRSS3P2
pink	CA2
pink	PSCA
pink	PLAC8
pink	JAG1
pink	PGA3
pink	PGA4
pink	PGA5
pink	PRSS3
pink	PLBD1
pink	APOL1
pink	KLF4
pink	FCGBP
pink	LDLR
pink	TSPO
pink	KLF5
pink	GCNT3
pink	INAVA
pink	GABRP
pink	LMO4
pink	CLTB
pink	SOX9
pink	PLS1
pink	KCNK1
pink	AOC1
pink	MUC13
pink	RIOK3
pink	TMBIM1
pink	CA9
pink	RNF128
pink	VNN1
pink	MIA
pink	SLC3A1
pink	SLC1A1
pink	SLC44A4
pink	F2RL1
pink	LIMA1
pink	TMPRSS4
pink	LAD1
pink	CEACAM7
pink	UPK1B
pink	NRG1
pink	RNF103
pink	PRSS1
pink	MAFF
pink	NUDT4
pink	RNASE4
pink	DUOX2
pink	GATM
pink	MAOB
pink	NEB
pink	ITGA6
pink	PLLP
pink	IL1R2
pink	ANXA3
pink	CHPT1
pink	CYP3A5
pink	MISP
pink	ADAM28
pink	CKMT1A
pink	CKMT1B
pink	GPRC5B
pink	MGST2
pink	FA2H
pink	SULT1C2
pink	GMDS
pink	GALNT12
pink	MYRF
pink	TMPRSS3
pink	TRAK1
pink	HS3ST1
pink	KIF13B
pink	AADAC
pink	VILL
pink	ERN2
pink	UGT2B15
pink	INPP1
pink	MTMR11
pink	ASAP2
pink	HEPH
