MODULE	GENE
purple	GAGE1
purple	GAGE12B
purple	GAGE12C
purple	GAGE12D
purple	GAGE12E
purple	GAGE12F
purple	GAGE12G
purple	GAGE12H
purple	GAGE12I
purple	GAGE12J
purple	GAGE13
purple	GAGE2A
purple	GAGE2B
purple	GAGE2C
purple	GAGE2D
purple	GAGE2E
purple	GAGE4
purple	GAGE5
purple	GAGE6
purple	GAGE7
purple	GAGE8
purple	MAGEA3
purple	KRT6A
purple	MAGEA6
purple	TUBB2A
purple	ATP1B3
purple	CALM1
purple	CTAG2
purple	KRT6B
purple	KRT6C
purple	KRT5
purple	KRT15
purple	CTAG1A
purple	CTAG1B
purple	RND3
purple	SPANXA1
purple	SPANXA2
purple	SPANXB1
purple	SPANXC
purple	MAGEA12
purple	USP14
purple	CTSV
purple	KRT13
purple	MMP10
purple	DRG1
purple	PSMD1
purple	SLC2A5
purple	TPX2
purple	WNT5A
purple	PRAME
purple	TMEM158
purple	COL4A5
purple	IGF2BP2
purple	SOX2
purple	SLC6A8
purple	TAC3
purple	MAGEA9
purple	MAGEA9B
purple	PWP1
purple	DDX27
purple	MAGEA4
purple	HSPA2
purple	SAE1
purple	EIF1B
purple	CDC20
purple	AURKA
purple	IL13RA2
purple	SLC16A1
purple	DPEP3
purple	ZIC1
purple	SF3A1
