MODULE	GENE
red	COL1A2
red	COL1A1
red	COL3A1
red	TIMP1
red	FN1
red	LGALS1
red	DCN
red	IGFBP3
red	COL6A3
red	IGFBP5
red	POSTN
red	VCAN
red	SPARC
red	IGFBP7
red	ACTA2
red	COL6A1
red	MMP2
red	COL6A2
red	TAGLN
red	MXRA7
red	CD99
red	THBS2
red	SERPINF1
red	IGFBP4
red	LUM
red	FSTL1
red	MXRA5
red	TIMP3
red	COL5A1
red	TPM1
red	PLAU
red	COL5A2
red	CCN2
red	COL4A2
red	CCN1
red	MICOS10-NBL1
red	NBL1
red	COL4A1
red	GJA1
red	COL11A1
red	PALLD
red	SULF1
red	CTSK
red	CDH11
red	SERPINH1
red	BGN
red	MMP11
red	CALD1
red	PLAUR
red	COL10A1
red	FBN1
red	SERPINE1
red	AEBP1
red	PMP22
red	FHL2
red	HTRA1
red	PRSS23
red	CYP1B1
red	NREP
red	RAB31
red	MYH10
red	GAS6
red	SFRP4
red	CALU
red	RARRES2
red	PDGFC
red	MICAL2
red	OLFML3
red	CRISPLD2
red	MYL9
red	ARL4C
red	DPYSL3
red	FBLN1
red	ASPN
red	CAPZB
red	PXDN
red	LOXL2
red	SPON2
red	LBH
red	CEMIP
red	CLIC4
red	COL15A1
red	LAMC1
red	INHBA
red	DKK3
red	THBS1
red	MYH9
red	ITGB5
red	MYLK
red	GREM1
red	PDGFRA
red	SPON1
red	VCAM1
red	COMP
red	IL6
red	ANGPTL2
red	TUBB6
red	LTBP1
red	MFAP2
red	ARID5B
red	COL18A1
red	FAM114A1
red	PCOLCE
red	FMOD
red	FERMT2
red	LOX
red	SEPTIN11
red	FILIP1L
red	TPM4
red	PTGIS
red	CILP
red	THY1
red	NUAK1
red	PDLIM3
red	LOXL1
red	NOTCH3
red	SNAI2
red	EGFL6
red	TPM2
red	CXCL12
red	ITGBL1
red	ISLR
red	TMEM47
red	GAS1
red	LRRC15
red	NFIL3
red	FAP
red	IGF1
red	EDNRA
red	MOXD1
red	MMP14
red	C1QTNF3
red	RGS16
red	CHSY1
red	RIN2
red	EFEMP2
red	HEG1
red	PRELP
