MODULE	GENE
turquoise	SFTPA2
turquoise	SFTPB
turquoise	ACTB
turquoise	HUWE1
turquoise	TPT1
turquoise	RPS10
turquoise	RPS10-NUDT3
turquoise	RPS10P19
turquoise	FTL
turquoise	EEF1A1
turquoise	GAPDH
turquoise	RPL13A
turquoise	RPS18
turquoise	RPL23A
turquoise	RPS2
turquoise	RPLP0
turquoise	RPL37A
turquoise	RPL41
turquoise	S100A6
turquoise	RPL3
turquoise	ACTG1
turquoise	RPL13
turquoise	RPL12
turquoise	RPL27A
turquoise	RPL8
turquoise	TMSB10
turquoise	S100A10
turquoise	UBC
turquoise	RPS15
turquoise	CFL1
turquoise	RPL7A
turquoise	NBEAL1
turquoise	RPS11
turquoise	PPIA
turquoise	RPS17
turquoise	RPS3A
turquoise	EEF1G
turquoise	RPL30
turquoise	RPL7
turquoise	RPS19
turquoise	CTSH
turquoise	RPS28
turquoise	RPL32
turquoise	RPS29
turquoise	RPLP2
turquoise	RPS23
turquoise	RPS20
turquoise	RPL38
turquoise	RPL10
turquoise	RPLP1
turquoise	RPL31
turquoise	RPS6
turquoise	RPL39
turquoise	RPS12
turquoise	RPS16
turquoise	RPS3
turquoise	RPS4X
turquoise	TUBA1A
turquoise	TUBA1B
turquoise	RPL36A
turquoise	RPL36A-HNRNPH2
turquoise	SFN
turquoise	H3-3A
turquoise	H3P6
turquoise	PTMA
turquoise	RPL18A
turquoise	RPL4
turquoise	RPS24
turquoise	RPS21
turquoise	FTH1
turquoise	RPL29
turquoise	RPS14
turquoise	EEF1A1P5
turquoise	RPL34
turquoise	RPS27
turquoise	FTH1P5
turquoise	PABPC1
turquoise	IFITM3
turquoise	RPSA
turquoise	FAU
turquoise	TUBA1C
turquoise	RPL28
turquoise	RPS15A
turquoise	KRT18
turquoise	GNAS
turquoise	ALDOA
turquoise	RPL9
turquoise	C18orf32
turquoise	RPL17
turquoise	RPL17-C18orf32
turquoise	CD63
turquoise	RACK1
turquoise	LGALS3
turquoise	RPL21
turquoise	RPL21P28
turquoise	RPL27
turquoise	UBB
turquoise	HSPB1
turquoise	MIF
turquoise	RPS13
turquoise	WFDC2
turquoise	RPL24
turquoise	RPL22
turquoise	RPL37
turquoise	ENO1
turquoise	RPL13AP5
turquoise	RPL13AP6
turquoise	IFITM2
turquoise	COX6A1
turquoise	RPL18
turquoise	TUBB
turquoise	P4HB
turquoise	RPL35
turquoise	LDHA
turquoise	S100A4
turquoise	FOLR1
turquoise	EEF1D
turquoise	EEF1DP1
turquoise	RPL23
turquoise	RPS5
turquoise	IFITM1
turquoise	NFKBIA
turquoise	H3-3B
turquoise	HSP90AA1
turquoise	CHCHD2
turquoise	NDRG1
turquoise	CALM2
turquoise	HSP90AB1
turquoise	S100A11
turquoise	EIF4A1
turquoise	SENP3-EIF4A1
turquoise	EEF2
turquoise	RLIM
turquoise	RPS9
turquoise	TAGLN2
turquoise	LAMP1
turquoise	RPS7
turquoise	RPL5
turquoise	RPL19
turquoise	NACA
turquoise	RPS27A
turquoise	RPS26
turquoise	TPI1
turquoise	EIF1
turquoise	HSP90B1
turquoise	SLC25A6
turquoise	NOP53
turquoise	HNRNPA1
turquoise	HNRNPA1L2
turquoise	HNRNPA1P10
turquoise	UBA52
turquoise	RPL11
turquoise	CST3
turquoise	RPL35A
turquoise	RPL15
turquoise	JTB
turquoise	NME1-NME2
turquoise	NME2
turquoise	SELENOP
turquoise	RPS8
turquoise	SOX4
turquoise	MYL6
turquoise	EIF3E
turquoise	RPL10A
turquoise	RPL14
turquoise	COX8A
turquoise	HINT1
turquoise	PFN1
turquoise	COX7C
turquoise	C4A
turquoise	C4B
turquoise	C4B_2
turquoise	HMGN3
turquoise	PPIB
turquoise	BTF3
turquoise	EEF1B2
turquoise	SERF2
turquoise	ID1
turquoise	NPM1
turquoise	HMGN1
turquoise	OAZ1
turquoise	OS9
turquoise	HMGN2
turquoise	JUND
turquoise	PHB2
turquoise	RPL6
turquoise	RPL6P27
turquoise	ASAH1
turquoise	TUBB4B
turquoise	C4orf46
turquoise	TOMM7
turquoise	PNN
turquoise	LOC102723728
turquoise	NOMO1
turquoise	NOMO2
turquoise	NOMO3
turquoise	RPL36
turquoise	TMBIM6
turquoise	TRAM1
turquoise	ITGB1
turquoise	GLUL
turquoise	EIF4A2
turquoise	RAC1
turquoise	SEPTIN9
turquoise	UQCRB
turquoise	ARF1
turquoise	ATP5F1E
turquoise	COX4I1
turquoise	UQCRQ
turquoise	CD47
turquoise	SSR2
turquoise	GABARAP
turquoise	CLTC
turquoise	TSC22D1
turquoise	ATP5MF
turquoise	ACTR3
turquoise	HIF1A
turquoise	CCNI
turquoise	CDK4
turquoise	COX5B
turquoise	PRICKLE4
turquoise	TOMM6
turquoise	APP
turquoise	EIF3L
turquoise	IER2
turquoise	DDX5
turquoise	GPX4
turquoise	PAM
turquoise	RPS25
turquoise	ARPC1B
turquoise	TMEM59
turquoise	MYL12A
turquoise	SNRPB
turquoise	SEC61B
turquoise	CPD
turquoise	ERP29
turquoise	NAP1L1
turquoise	YBX3
turquoise	COX6B1
turquoise	FLOT1
turquoise	CADM1
turquoise	TMED2
turquoise	TNFSF10
turquoise	SRP9
turquoise	SSR1
turquoise	NONO
turquoise	GLO1
turquoise	HDGF
turquoise	ATP5MC2
turquoise	POLR2L
turquoise	NDUFB2
turquoise	NME1
turquoise	SET
turquoise	CALR
turquoise	MARCKSL1
turquoise	SLC38A2
turquoise	CD46
turquoise	EIF4G2
turquoise	CKAP4
turquoise	ARF4
turquoise	SF3B1
turquoise	GGCT
turquoise	SUMO2
turquoise	TM9SF2
turquoise	GDI2
turquoise	TFPI
turquoise	NAMPT
turquoise	PFDN5
turquoise	ANP32B
turquoise	RAB1A
turquoise	XRCC6
turquoise	PARK7
turquoise	DYNLRB1
turquoise	IDH2
