MODULE	GENE
yellow	IGHD
yellow	IGKV4-1
yellow	IGHM
yellow	IGHV1-69
yellow	IGHV1-69-2
yellow	IGKV2-28
yellow	IGKV2D-28
yellow	IGKV1-17
yellow	IGHA1
yellow	IGHG1
yellow	IGHV3-23
yellow	IGHV4-31
yellow	IGK
yellow	ZCWPW2
yellow	IGLV3-25
yellow	IGKC
yellow	IGLV3-10
yellow	IGLV2-14
yellow	POU2AF1
yellow	IGKV1-39
yellow	IGKV1D-39
yellow	IGLJ3
yellow	IGLL5
yellow	IGLV3-19
yellow	IGKV1-37
yellow	IGKV1D-37
yellow	IGHG3
yellow	IGHV3-21
yellow	IGHV3-48
yellow	IGHV3-71
yellow	IGHA2
yellow	IGHJ4
yellow	IGHV3-30
yellow	IGHV3-33
yellow	IGLV@
yellow	IGKV1OR2-108
yellow	JCHAIN
yellow	IGKV1D-13
yellow	SKAP2
yellow	IGKV1OR1-1
yellow	IGKV1OR2-118
yellow	IGH
yellow	IGLV4-60
yellow	IGHG2
yellow	IGHJ5
yellow	IGHV3-20
yellow	FKBP11
yellow	IGHV3-73
yellow	TNFRSF17
yellow	MZB1
yellow	CD79A
yellow	IGLC1
yellow	IGHV3-72
yellow	CYAT1
yellow	IGLC2
yellow	IGLC3
yellow	IGLV1-44
yellow	IGLV4-3
yellow	IGHV3-53
yellow	IGHV3-66
yellow	IGHV4-61
yellow	LOC102723407
yellow	GUSBP11
yellow	BLNK
yellow	IGLV1-40
yellow	IGLV1-50
yellow	IGKV1-5
yellow	ISG20
yellow	IGLL3P
yellow	BMS1P20
yellow	IGLJ2
yellow	IGLC7
yellow	SPAG4
yellow	CD38
yellow	IGHV3-13
yellow	ST6GAL1
yellow	CYBA
yellow	XBP1
yellow	IGKV1-33
yellow	IGKV1D-33
yellow	IGKV2-29
yellow	IGKV3D-15
yellow	PIM2
yellow	CD27
yellow	SLC1A4
yellow	IGKV1D-8
yellow	PECAM1
