nodeName	altName	nodeAttr[nodesPresent, ]
HSPA8	HSPA8	brown
RHOA	RHOA	brown
NPIPB11	NPIPB11	brown
NPIPB13	NPIPB13	brown
NPIPB3	NPIPB3	brown
NPIPB4	NPIPB4	brown
NPIPB5	NPIPB5	brown
LRRFIP1	LRRFIP1	brown
CIST1	CIST1	brown
PDE4C	PDE4C	brown
ATP6V1G2-DDX39B	ATP6V1G2-DDX39B	brown
DDX39B	DDX39B	brown
NPIPA1	NPIPA1	brown
NPIPA2	NPIPA2	brown
NPIPA3	NPIPA3	brown
NPIPA5	NPIPA5	brown
NPIPA7	NPIPA7	brown
NPIPA8	NPIPA8	brown
NPIPB10P	NPIPB10P	brown
PKD1P1	PKD1P1	brown
DBT	DBT	brown
TNPO1	TNPO1	brown
NBPF10	NBPF10	brown
NBPF12	NBPF12	brown
NBPF15	NBPF15	brown
NBPF19	NBPF19	brown
NBPF20	NBPF20	brown
NBPF26	NBPF26	brown
NBPF8	NBPF8	brown
NBPF9	NBPF9	brown
SRRM2	SRRM2	brown
EIF3K	EIF3K	brown
DAZAP2	DAZAP2	brown
NBPF11	NBPF11	brown
LOC102724250	LOC102724250	brown
NBPF1	NBPF1	brown
NBPF14	NBPF14	brown
NBPF25P	NBPF25P	brown
NOTCH2NLB	NOTCH2NLB	brown
DAD1	DAD1	brown
ZC3H11A	ZC3H11A	brown
ZC3H11C	ZC3H11C	brown
USP34	USP34	brown
SPCS1	SPCS1	brown
NOTCH2NLA	NOTCH2NLA	brown
CTBP2	CTBP2	brown
BCL2L2-PABPN1	BCL2L2-PABPN1	brown
PABPN1	PABPN1	brown
PCBP1	PCBP1	brown
NKTR	NKTR	brown
LUC7L3	LUC7L3	brown
TNFAIP8L1	TNFAIP8L1	brown
SLC35E1	SLC35E1	brown
ZNF721	ZNF721	brown
ANKRD36B	ANKRD36B	brown
KHDC4	KHDC4	brown
PSMD8	PSMD8	brown
RO60	RO60	brown
CDC42BPA	CDC42BPA	brown
GOLGA8A	GOLGA8A	brown
HAUS2	HAUS2	brown
UBXN4	UBXN4	brown
SLC25A16	SLC25A16	brown
ZNF160	ZNF160	brown
ZDHHC11	ZDHHC11	brown
ZDHHC11B	ZDHHC11B	brown
CDK5RAP3	CDK5RAP3	brown
ZNF638	ZNF638	brown
OPHN1	OPHN1	brown
TPR	TPR	brown
NSUN5P1	NSUN5P1	brown
NSUN5P2	NSUN5P2	brown
STX16	STX16	brown
GOLGA8B	GOLGA8B	brown
PGF	PGF	brown
SNRNP70	SNRNP70	brown
TBC1D3	TBC1D3	brown
TBC1D3B	TBC1D3B	brown
TBC1D3C	TBC1D3C	brown
TBC1D3D	TBC1D3D	brown
TBC1D3E	TBC1D3E	brown
TBC1D3F	TBC1D3F	brown
TBC1D3G	TBC1D3G	brown
TBC1D3H	TBC1D3H	brown
TBC1D3I	TBC1D3I	brown
TBC1D3K	TBC1D3K	brown
TBC1D3L	TBC1D3L	brown
CELF1	CELF1	brown
PRR11	PRR11	brown
FKSG49	FKSG49	brown
ATP8B1	ATP8B1	brown
SYNCRIP	SYNCRIP	brown
LINC00342	LINC00342	brown
RAB3GAP1	RAB3GAP1	brown
PKN2	PKN2	brown
KDM6B	KDM6B	brown
MSL1	MSL1	brown
NSUN5	NSUN5	brown
DICER1	DICER1	brown
SGSM2	SGSM2	brown
CLK2	CLK2	brown
MRPS12	MRPS12	brown
SCAF11	SCAF11	brown
PMS2P1	PMS2P1	brown
BPTF	BPTF	brown
HEBP1	HEBP1	brown
TRA2A	TRA2A	brown
CHKB	CHKB	brown
FBXW12	FBXW12	brown
IPO4	IPO4	brown
TM9SF1	TM9SF1	brown
CCNL2	CCNL2	brown
PMS2P10	PMS2P10	brown
PMS2P13	PMS2P13	brown
PMS2P2	PMS2P2	brown
PMS2P5	PMS2P5	brown
PMS2P6	PMS2P6	brown
PMS2P7	PMS2P7	brown
GABRE	GABRE	brown
SETD5	SETD5	brown
PILRB	PILRB	brown
STAG3L5P-PVRIG2P-PILRB	STAG3L5P-PVRIG2P-PILRB	brown
PI4KB	PI4KB	brown
TCF7	TCF7	brown
RALGDS	RALGDS	brown
LARS1	LARS1	brown
USP4	USP4	brown
PMS2P3	PMS2P3	brown
