nodeName	altName	nodeAttr[nodesPresent, ]
CYP2B6	CYP2B6	turquoise
CYP2B7P	CYP2B7P	turquoise
ADH1B	ADH1B	turquoise
FOLR1	FOLR1	turquoise
SELENBP1	SELENBP1	turquoise
TOP2A	TOP2A	turquoise
RRM2	RRM2	turquoise
C7	C7	turquoise
ASPM	ASPM	turquoise
MGP	MGP	turquoise
ECT2	ECT2	turquoise
GGH	GGH	turquoise
CDC20	CDC20	turquoise
CCNB1	CCNB1	turquoise
PRC1	PRC1	turquoise
FHL1	FHL1	turquoise
PBK	PBK	turquoise
UBE2C	UBE2C	turquoise
CENPU	CENPU	turquoise
CEP55	CEP55	turquoise
MAD2L1	MAD2L1	turquoise
PCLAF	PCLAF	turquoise
HAT1	HAT1	turquoise
AURKA	AURKA	turquoise
TYMS	TYMS	turquoise
NUSAP1	NUSAP1	turquoise
ZWINT	ZWINT	turquoise
CDKN3	CDKN3	turquoise
CDK1	CDK1	turquoise
CKS2	CKS2	turquoise
CHRDL1	CHRDL1	turquoise
BUB1B	BUB1B	turquoise
MTHFD2	MTHFD2	turquoise
DLGAP5	DLGAP5	turquoise
UCK2	UCK2	turquoise
NEK2	NEK2	turquoise
UBE2S	UBE2S	turquoise
GINS1	GINS1	turquoise
HLTF	HLTF	turquoise
TPX2	TPX2	turquoise
HMGB2	HMGB2	turquoise
MELK	MELK	turquoise
FMO2	FMO2	turquoise
RFC4	RFC4	turquoise
MFAP4	MFAP4	turquoise
RACGAP1	RACGAP1	turquoise
U2SURP	U2SURP	turquoise
BIRC5	BIRC5	turquoise
PAICS	PAICS	turquoise
CENPA	CENPA	turquoise
TRIP13	TRIP13	turquoise
ZC3H15	ZC3H15	turquoise
CENPF	CENPF	turquoise
ELN	ELN	turquoise
XPOT	XPOT	turquoise
GMNN	GMNN	turquoise
ABCA8	ABCA8	turquoise
CLEC3B	CLEC3B	turquoise
EXOSC7	EXOSC7	turquoise
CSE1L	CSE1L	turquoise
MYH11	MYH11	turquoise
PRKDC	PRKDC	turquoise
HMGA1	HMGA1	turquoise
FOXM1	FOXM1	turquoise
DTL	DTL	turquoise
CTSV	CTSV	turquoise
LTBP2	LTBP2	turquoise
MRPL13	MRPL13	turquoise
SMC3	SMC3	turquoise
HSPD1	HSPD1	turquoise
HSPE1-MOB4	HSPE1-MOB4	turquoise
MOB4	MOB4	turquoise
MSH2	MSH2	turquoise
MCM4	MCM4	turquoise
KIF11	KIF11	turquoise
KIF4A	KIF4A	turquoise
A2M	A2M	turquoise
TNS1	TNS1	turquoise
SMC2	SMC2	turquoise
